
SRC_AREA     SRC_NWSE     TARGET_ARE   ENTRY_NAME   TRV_TIME     DEF_ENTRY    ENC1         ENC2         ENC3         ENC4         ENC5         ENC_PROB
AR1100       N            ARISH1       Main         4            1            N            N            N            N            N            0
AR1100       E            ARISH1       Main         4            1            N            N            N            N            N            0
AR1100       S            ARISH1       Main         4            1            N            N            N            N            N            0
AR1100       W            ARISH1       Main         4            1            N            N            N            N            N            0
AR1300       N            ARISH1       Main         4            1            N            N            N            N            N            0
AR1300       E            ARISH1       Main         4            1            N            N            N            N            N            0
AR1300       S            ARISH1       Main         4            1            N            N            N            N            N            0
AR1300       W            ARISH1       Main         4            1            N            N            N            N            N            0
AR1200       N            ARISH1       Main         4            1            N            N            N            N            N            0
AR1200       E            ARISH1       Main         4            1            N            N            N            N            N            0
AR1200       S            ARISH1       Main         4            1            N            N            N            N            N            0
AR1200       W            ARISH1       Main         4            1            N            N            N            N            N            0
AR0020       N            ARISH1       Main         4            1            N            N            N            N            N            0
AR0020       E            ARISH1       Main         4            1            N            N            N            N            N            0
AR0020       S            ARISH1       Main         4            1            N            N            N            N            N            0
AR0020       W            ARISH1       Main         4            1            N            N            N            N            N            0
AR1304       N            ARISH1       Main         4            1            N            N            N            N            N            0
AR1304       E            ARISH1       Main         4            1            N            N            N            N            N            0
AR1304       S            ARISH1       Main         4            1            N            N            N            N            N            0
AR1304       W            ARISH1       Main         4            1            N            N            N            N            N            0
AR2000       N            ARISH1       Main         4            1            N            N            N            N            N            0
AR2000       E            ARISH1       Main         4            1            N            N            N            N            N            0
AR2000       S            ARISH1       Main         4            1            N            N            N            N            N            0
AR2000       W            ARISH1       Main         4            1            N            N            N            N            N            0
ARISH1       N            AR2000       ExitSW       4            1            N            N            N            N            N            0
ARISH1       E            AR2000       ExitSW       4            1            N            N            N            N            N            0
ARISH1       S            AR2000       ExitSW       4            1            N            N            N            N            N            0
ARISH1       W            AR2000       ExitSW       4            1            N            N            N            N            N            0
ARISH1       N            AR1304       ExitSE       4            1            N            N            N            N            N            0
ARISH1       E            AR1304       ExitSE       4            1            N            N            N            N            N            0
ARISH1       S            AR1304       ExitSE       4            1            N            N            N            N            N            0
ARISH1       W            AR1304       ExitSE       4            1            N            N            N            N            N            0
ARISH1       N            AR0020       ExitNE       4            1            N            N            N            N            N            0
ARISH1       E            AR0020       ExitNE       4            1            N            N            N            N            N            0
ARISH1       S            AR0020       ExitNE       4            1            N            N            N            N            N            0
ARISH1       W            AR0020       ExitNE       4            1            N            N            N            N            N            0
ARISH1       N            AR1200       ExitW        4            1            N            N            N            N            N            0
ARISH1       E            AR1200       ExitW        4            1            N            N            N            N            N            0
ARISH1       S            AR1200       ExitW        4            1            N            N            N            N            N            0
ARISH1       W            AR1200       ExitW        4            1            N            N            N            N            N            0
ARISH1       N            AR1300       ExitSE       4            1            N            N            N            N            N            0
ARISH1       E            AR1300       ExitSE       4            1            N            N            N            N            N            0
ARISH1       S            AR1300       ExitSE       4            1            N            N            N            N            N            0
ARISH1       W            AR1300       ExitSE       4            1            N            N            N            N            N            0
ARISH1       N            AR1100       ExitSE       4            1            N            N            N            N            N            0
ARISH1       E            AR1100       ExitSE       4            1            N            N            N            N            N            0
ARISH1       S            AR1100       ExitSE       4            1            N            N            N            N            N            0
ARISH1       W            AR1100       ExitSE       4            1            N            N            N            N            N            0

SRC_AREA     SRC_NWSE     TARGET_ARE   ENTRY_NAME   TRV_TIME     DEF_ENTRY    ENC1         ENC2         ENC3         ENC4         ENC5         ENC_PROB
AR1100       N            WQ0001       Main         3            1            N            N            N            N            N            0
AR1100       E            WQ0001       Main         3            1            N            N            N            N            N            0
AR1100       S            WQ0001       Main         3            1            N            N            N            N            N            0
AR1100       W            WQ0001       Main         3            1            N            N            N            N            N            0
AR1300       N            WQ0001       Main         3            1            N            N            N            N            N            0
AR1300       E            WQ0001       Main         3            1            N            N            N            N            N            0
AR1300       S            WQ0001       Main         3            1            N            N            N            N            N            0
AR1300       W            WQ0001       Main         3            1            N            N            N            N            N            0
AR1200       N            WQ0001       Main         3            1            N            N            N            N            N            0
AR1200       E            WQ0001       Main         3            1            N            N            N            N            N            0
AR1200       S            WQ0001       Main         3            1            N            N            N            N            N            0
AR1200       W            WQ0001       Main         3            1            N            N            N            N            N            0
AR0020       N            WQ0001       Main         3            1            N            N            N            N            N            0
AR0020       E            WQ0001       Main         3            1            N            N            N            N            N            0
AR0020       S            WQ0001       Main         3            1            N            N            N            N            N            0
AR0020       W            WQ0001       Main         3            1            N            N            N            N            N            0
AR1304       N            WQ0001       Main         3            1            N            N            N            N            N            0
AR1304       E            WQ0001       Main         3            1            N            N            N            N            N            0
AR1304       S            WQ0001       Main         3            1            N            N            N            N            N            0
AR1304       W            WQ0001       Main         3            1            N            N            N            N            N            0
AR2000       N            WQ0001       Main         3            1            N            N            N            N            N            0
AR2000       E            WQ0001       Main         3            1            N            N            N            N            N            0
AR2000       S            WQ0001       Main         3            1            N            N            N            N            N            0
AR2000       W            WQ0001       Main         3            1            N            N            N            N            N            0
WQ0001       N            AR1304       ExitSE       3            1            N            N            N            N            N            0
WQ0001       E            AR1304       ExitSE       3            1            N            N            N            N            N            0
WQ0001       S            AR1304       ExitSE       3            1            N            N            N            N            N            0
WQ0001       W            AR1304       ExitSE       3            1            N            N            N            N            N            0
WQ0001       N            AR0020       ExitNE       3            1            N            N            N            N            N            0
WQ0001       E            AR0020       ExitNE       3            1            N            N            N            N            N            0
WQ0001       S            AR0020       ExitNE       3            1            N            N            N            N            N            0
WQ0001       W            AR0020       ExitNE       3            1            N            N            N            N            N            0
WQ0001       N            AR1200       ExitW        3            1            N            N            N            N            N            0
WQ0001       E            AR1200       ExitW        3            1            N            N            N            N            N            0
WQ0001       S            AR1200       ExitW        3            1            N            N            N            N            N            0
WQ0001       W            AR1200       ExitW        3            1            N            N            N            N            N            0
WQ0001       N            AR1300       ExitSE       3            1            N            N            N            N            N            0
WQ0001       E            AR1300       ExitSE       3            1            N            N            N            N            N            0
WQ0001       S            AR1300       ExitSE       3            1            N            N            N            N            N            0
WQ0001       W            AR1300       ExitSE       3            1            N            N            N            N            N            0
WQ0001       N            AR1100       ExitSE       3            1            N            N            N            N            N            0
WQ0001       E            AR1100       ExitSE       3            1            N            N            N            N            N            0
WQ0001       S            AR1100       ExitSE       3            1            N            N            N            N            N            0
WQ0001       W            AR1100       ExitSE       3            1            N            N            N            N            N            0
WQ0001       N            AR2000       ExitSW       3            1            N            N            N            N            N            0
WQ0001       E            AR2000       ExitSW       3            1            N            N            N            N            N            0
WQ0001       S            AR2000       ExitSW       3            1            N            N            N            N            N            0
WQ0001       W            AR2000       ExitSW       3            1            N            N            N            N            N            0

SRC_AREA     SRC_NWSE     TARGET_ARE   ENTRY_NAME   TRV_TIME     DEF_ENTRY    ENC1         ENC2         ENC3         ENC4         ENC5         ENC_PROB
AR0400       N            L#AS01       En           0            1            N            N            N            N            N            0
AR0400       E            L#AS01       En           0            1            N            N            N            N            N            0
AR0400       S            L#AS01       En           0            1            N            N            N            N            N            0
AR0400       W            L#AS01       En           0            1            N            N            N            N            N            0
AR0300       N            L#AS01       En           0            1            N            N            N            N            N            0
AR0300       E            L#AS01       En           0            1            N            N            N            N            N            0
